window,overall,missense,nonsense,splice,synonymous,intron
32,0.630186,0.615226,0.59949,0.62963,0.609015,0.638961
64,0.744833,0.759179,0.659439,0.656566,0.74144,0.669221
128,0.780532,0.791116,0.693878,0.717172,0.699161,0.703117
256,0.831983,0.826761,0.697704,0.713805,0.802236,0.820455
512,0.835374,0.813679,0.739796,0.750842,0.822152,0.826104
1024,0.835374,0.813679,0.739796,0.750842,0.822152,0.826104
2048,0.843504,0.823398,0.713776,0.757576,0.845961,0.850649
4096,0.835716,0.816979,0.710459,0.757576,0.840084,0.838961
8192,0.849836,0.832537,0.729592,0.787879,0.851993,0.863636
16384,0.850225,0.829281,0.718878,0.787879,0.847165,0.867532
32768,0.857336,0.839346,0.721939,0.79798,0.844068,0.868831
65536,0.858782,0.840684,0.715816,0.808081,0.84302,0.879221
