method,type,consequence,n_total,n_pathogenic,n_valid,auroc,auroc_lo,auroc_hi,auprc
CADD v1.7,scalar,Overall,833970,96793,832690,0.991439835241894,0.9911298929294328,0.9917415338040294,0.956039329991495
CADD v1.7,scalar,Missense,125092,36301,125082,0.946136654289722,0.9448988269538736,0.9471891524953988,0.8493608856011714
CADD v1.7,scalar,Synonymous,292369,299,292368,0.9294592972607116,0.909014848225753,0.9496998688041296,0.2850293414142472
CADD v1.7,scalar,Nonsense,36050,35454,36050,0.7830295651080916,0.7598925394192383,0.8007315990018317,0.993155717851647
CADD v1.7,scalar,Splice Donor,11855,11693,11855,0.8567379132603341,0.819399315173672,0.8929124464996268,0.9963480807696686
CADD v1.7,scalar,Splice Acceptor,9828,9655,9828,0.8815804204596138,0.840879716644047,0.9164257898817127,0.9964520504671766
CADD v1.7,scalar,Intronic,254737,1723,254736,0.909505586020787,0.8999049791396496,0.9179701245668928,0.3091421374133207
CADD v1.7,scalar,Initiator Codon,1363,1191,1363,0.8541385976216975,0.8169538025142552,0.8865661484884272,0.9615652005111124
CADD v1.7,scalar,5' UTR,15232,82,15232,0.8354628511631651,0.7697256486456379,0.8901176831868032,0.2313154613284027
CADD v1.7,scalar,3' UTR,16679,27,16679,0.8733396500031138,0.7728785721175722,0.9609144114869514,0.0616989412783209
CADD v1.7,scalar,Non-coding Transcript,67267,108,67267,0.8609882683052326,0.8078230938222053,0.906739093690144,0.2491860811169689
CADD v1.7,scalar,Missense (canonical),117653,35535,117647,0.9430485493631326,0.9417519862962318,0.94430128840903,0.847970157106794
CADD v1.7,scalar,Missense (non-canonical),7439,766,7435,0.9820724445634914,0.9775181619852836,0.9860297564875824,0.8900278440255948
CADD v1.7,scalar,Other,3498,260,2230,0.8591786245615042,0.8366016580594507,0.8842137180702955,0.4418093928187586
CADD v1.6,scalar,Overall,833970,96793,832690,0.9924485051005298,0.9921803454032716,0.9927664931878892,0.9620373397560272
CADD v1.6,scalar,Missense,125092,36301,125082,0.947039661668796,0.9458991901726108,0.9481439997711724,0.8506137091462773
CADD v1.6,scalar,Synonymous,292369,299,292368,0.9266248373915308,0.9065465094407568,0.9461805070430842,0.4417031839787571
CADD v1.6,scalar,Nonsense,36050,35454,36050,0.7599532743628856,0.7355048300627431,0.7817003475282319,0.9921468996668608
CADD v1.6,scalar,Splice Donor,11855,11693,11855,0.8568701544556045,0.8159684848695414,0.8947330853793877,0.9962110173855764
CADD v1.6,scalar,Splice Acceptor,9828,9655,9828,0.8853491706654134,0.8423142144543557,0.9168373940165216,0.9962091490307856
CADD v1.6,scalar,Intronic,254737,1723,254736,0.9191882467526666,0.9102566291762532,0.9291758529875268,0.5884365747188511
CADD v1.6,scalar,Initiator Codon,1363,1191,1363,0.8469089879522778,0.8101204146066381,0.8803965653465825,0.962266379192081
CADD v1.6,scalar,5' UTR,15232,82,15232,0.8626454962569428,0.8120510647052243,0.9124465876632448,0.3285373402521859
CADD v1.6,scalar,3' UTR,16679,27,16679,0.8534966325922366,0.7660529307397456,0.9364143033831396,0.0324426352147584
CADD v1.6,scalar,Non-coding Transcript,67267,108,67267,0.8822615815535604,0.8443107106360896,0.9179653059543076,0.3233667295160482
CADD v1.6,scalar,Missense (canonical),117653,35535,117647,0.944122234301012,0.9425912483340904,0.9453489860855684,0.8496328300751624
CADD v1.6,scalar,Missense (non-canonical),7439,766,7435,0.9818035071406572,0.978405896338344,0.9855375971259582,0.876114700373569
CADD v1.6,scalar,Other,3498,260,2230,0.8463538868232716,0.8229504262300795,0.875931084799035,0.4459567664589741
AlphaMissense,scalar,Overall,833970,96793,118983,0.96716713483436,0.9661538780355212,0.9681152650596478,0.9297737265865932
AlphaMissense,scalar,Missense,125092,36301,117653,0.9675907395464746,0.966633516789406,0.968547261519909,0.9310012459864856
AlphaMissense,scalar,Splice Acceptor,9828,9655,29,0.7842105263157895,0.6153409090909091,0.9229231366459628,0.8899907519849104
AlphaMissense,scalar,Initiator Codon,1363,1191,89,0.8995929443690639,0.8179108354332235,0.969577005705737,0.8019452940875584
AlphaMissense,scalar,5' UTR,15232,82,68,0.7164179104477613,,,0.05
AlphaMissense,scalar,Non-coding Transcript,67267,108,34,0.6060606060606061,,,0.0714285714285714
AlphaMissense,scalar,Missense (canonical),117653,35535,117653,0.9675907395464746,0.966633516789406,0.968547261519909,0.9310012459864856
AlphaMissense,scalar,Other,3498,260,1055,0.95003145003145,0.9120198611359438,0.975286666348322,0.602362297816666
REVEL,scalar,Overall,833970,96793,39374,0.9761989376908896,0.974584888838813,0.9777270023252396,0.934759538075816
REVEL,scalar,Missense,125092,36301,36783,0.9783429291234504,0.977173649425796,0.9798661190599738,0.9409674242529094
REVEL,scalar,Synonymous,292369,299,859,0.8920653442240373,,,0.0171031916416201
REVEL,scalar,Nonsense,36050,35454,64,0.5241935483870968,,,0.9575127058865384
REVEL,scalar,Intronic,254737,1723,752,0.7708533077660594,0.6044151486097794,0.9084018408309024,0.0811612256510115
REVEL,scalar,Initiator Codon,1363,1191,299,0.8600021123785382,0.7782135695187166,0.9310214350181713,0.9742085105995084
REVEL,scalar,5' UTR,15232,82,130,1.0,,,1.0
REVEL,scalar,Missense (canonical),117653,35535,34430,0.9785588444611212,0.9770883682483188,0.9800542467003132,0.9429647287141898
REVEL,scalar,Missense (non-canonical),7439,766,2353,0.9473318598958153,0.9233133458244708,0.967308114624146,0.8222307263134168
REVEL,scalar,Other,3498,260,46,0.9111111111111112,0.8245698051948052,0.9780780075187968,0.7312029637029637
PolyPhen2,scalar,Overall,833970,96793,34504,0.9172549381109916,0.9140204200620506,0.9207793916054252,0.7128864752705819
PolyPhen2,scalar,Missense,125092,36301,33553,0.922919915623011,0.920265366891374,0.9258004747226716,0.7197778515026705
PolyPhen2,scalar,Synonymous,292369,299,163,0.9938271604938272,,,0.3333333333333333
PolyPhen2,scalar,Intronic,254737,1723,214,0.4257075471698113,,,0.0118157543391188
PolyPhen2,scalar,Initiator Codon,1363,1191,270,0.7586044000539884,0.6616975665266107,0.8442117132316551,0.9413271700368926
PolyPhen2,scalar,Missense (canonical),117653,35535,32506,0.9222495610634188,0.9190495135811434,0.9251292737080744,0.724715083990161
PolyPhen2,scalar,Missense (non-canonical),7439,766,1047,0.8158268733850129,0.7023539247180551,0.9034062743961588,0.0610347605856306
PolyPhen2,scalar,Other,3498,260,43,0.7647783251231528,0.6318957807239057,0.902099018976713,0.5644848848630362
GPN-MSA,scalar,Overall,833970,96793,832689,0.9640051245305824,0.9632739497592736,0.9647382658007542,0.8713638568949185
GPN-MSA,scalar,Missense,125092,36301,125082,0.9397681114462836,0.938782877010073,0.9409498723120236,0.8422169326212335
GPN-MSA,scalar,Synonymous,292369,299,292368,0.7985350932616818,0.7694876705360676,0.8269393443942609,0.0285116805848695
GPN-MSA,scalar,Nonsense,36050,35454,36050,0.8352234609322676,0.8190592596854684,0.8509678509404841,0.995902551808636
GPN-MSA,scalar,Splice Donor,11855,11693,11855,0.8575936536896085,0.8172601509170387,0.8927519001211317,0.9969242787130992
GPN-MSA,scalar,Splice Acceptor,9828,9655,9828,0.8817815801211151,0.8460232636303634,0.9087542136506348,0.9970996527578598
GPN-MSA,scalar,Intronic,254737,1723,254735,0.8206493149440985,0.8092979453100965,0.8345878225531824,0.3035385587733078
GPN-MSA,scalar,Initiator Codon,1363,1191,1363,0.8228599183800986,0.7772452028429784,0.8563047232668334,0.9611941853978316
GPN-MSA,scalar,5' UTR,15232,82,15232,0.7421677533607018,0.6805869042577776,0.8034324890296632,0.2136039547921519
GPN-MSA,scalar,3' UTR,16679,27,16679,0.8074405476819602,0.7109083916648764,0.8870922798549897,0.015750711391171
GPN-MSA,scalar,Non-coding Transcript,67267,108,67267,0.7826621235509099,0.7346276540060901,0.8313547969323525,0.1127833034631048
GPN-MSA,scalar,Missense (canonical),117653,35535,117647,0.937276173871762,0.9358730989251436,0.9385569017479832,0.8431694010457426
GPN-MSA,scalar,Missense (non-canonical),7439,766,7435,0.9620587803791124,0.9552726639561092,0.9685372853324578,0.7938104546993142
GPN-MSA,scalar,Other,3498,260,2230,0.9174994806106588,0.8978918249082274,0.9417946508643812,0.7015088846504236
NTv3 cosine dist,scalar,Overall,833970,96793,833970,0.8399982742736741,0.838815112624182,0.841274702072114,0.5014014465777159
NTv3 cosine dist,scalar,Missense,125092,36301,125092,0.6153311412082973,0.6121859845611666,0.6188074745192091,0.3800716189046447
NTv3 cosine dist,scalar,Synonymous,292369,299,292369,0.8705955746852733,0.8478222816964668,0.8916822704108379,0.0257513048065759
NTv3 cosine dist,scalar,Nonsense,36050,35454,36050,0.6319335518601852,0.6068949932791972,0.6605374546880378,0.9877739593049196
NTv3 cosine dist,scalar,Splice Donor,11855,11693,11855,0.7526076063235048,0.7052038175531153,0.7911254427743255,0.994154121590332
NTv3 cosine dist,scalar,Splice Acceptor,9828,9655,9828,0.7260112613489073,0.6737853956086038,0.7680064108293604,0.9912311686903535
NTv3 cosine dist,scalar,Intronic,254737,1723,254737,0.9039915555772892,0.8962294147750202,0.9122465870240836,0.1672460323776599
NTv3 cosine dist,scalar,Initiator Codon,1363,1191,1363,0.7984618163356961,0.7622742273142876,0.8314407160035302,0.9568895106724632
NTv3 cosine dist,scalar,5' UTR,15232,82,15232,0.6755630685019722,0.5964956891845251,0.7477759544233988,0.074149786948084
NTv3 cosine dist,scalar,3' UTR,16679,27,16679,0.7811674273360557,0.6761224983558068,0.8717516107475545,0.1469416047030496
NTv3 cosine dist,scalar,Non-coding Transcript,67267,108,67267,0.8412749621820632,0.7860219445868337,0.8855911649409262,0.0337036038588309
NTv3 cosine dist,scalar,Missense (canonical),117653,35535,117653,0.6140089647409377,0.6108864382258026,0.6171355407098951,0.3923149353211781
NTv3 cosine dist,scalar,Missense (non-canonical),7439,766,7439,0.7183355316365903,0.700900254587688,0.7371121157378296,0.2268875718740845
NTv3 cosine dist,scalar,Other,3498,260,3498,0.7008065282463058,0.6592073997080545,0.7314946850062789,0.2297862271755515
NTv3 L2 dist,scalar,Overall,833970,96793,833970,0.8373098972034818,0.8360057252121537,0.8386048080880908,0.5095232034470378
NTv3 L2 dist,scalar,Missense,125092,36301,125092,0.6181231203476532,0.6146143013246982,0.6217547174879258,0.3899381206031534
NTv3 L2 dist,scalar,Synonymous,292369,299,292369,0.8672516255495173,0.8456932794528212,0.8908350801376332,0.0299601464107975
NTv3 L2 dist,scalar,Nonsense,36050,35454,36050,0.647911056315339,0.6227265606752729,0.6728695911739884,0.988696090966837
NTv3 L2 dist,scalar,Splice Donor,11855,11693,11855,0.7675139077616343,0.723644789768019,0.8072273413793056,0.9946096268693376
NTv3 L2 dist,scalar,Splice Acceptor,9828,9655,9828,0.7196163597884231,0.6710776403478523,0.7591679936042893,0.9911633419006504
NTv3 L2 dist,scalar,Intronic,254737,1723,254737,0.9012612406808428,0.8937734680948362,0.9098570461082044,0.1883119945790216
NTv3 L2 dist,scalar,Initiator Codon,1363,1191,1363,0.7852156678968231,0.7526370557094627,0.8162530670875451,0.9566180777894276
NTv3 L2 dist,scalar,5' UTR,15232,82,15232,0.650888674233277,0.5648922298227729,0.7290342716338024,0.062808011773147
NTv3 L2 dist,scalar,3' UTR,16679,27,16679,0.7228227506872714,0.6124582312371311,0.8129262047162706,0.1574382598292291
NTv3 L2 dist,scalar,Non-coding Transcript,67267,108,67267,0.8287203171247008,0.7753176840719657,0.8745049604644489,0.0344963326524919
NTv3 L2 dist,scalar,Missense (canonical),117653,35535,117653,0.6170254615087782,0.613812698940778,0.6202875336997651,0.4022316635433568
NTv3 L2 dist,scalar,Missense (non-canonical),7439,766,7439,0.6867590997429726,0.6690953337179059,0.708371617423681,0.217308662142528
NTv3 L2 dist,scalar,Other,3498,260,3498,0.6942426474081816,0.6548656446451047,0.7284500024590304,0.234700295808395
AlphaGenome composite,scalar,Overall,833970,96793,833970,0.6452855191015021,0.6431539060069635,0.6474017423514117,0.3602122839086555
AlphaGenome composite,scalar,Missense,125092,36301,125092,0.520403027220548,0.5172628140966413,0.5236618291659563,0.3285826615537529
AlphaGenome composite,scalar,Synonymous,292369,299,292369,0.9010598950427996,0.8778444902282782,0.9215826852552972,0.1080853009785393
AlphaGenome composite,scalar,Nonsense,36050,35454,36050,0.5235152989619217,0.5016230894157869,0.541398871235536,0.9852489385482646
AlphaGenome composite,scalar,Splice Donor,11855,11693,11855,0.8244338440324643,0.7827566532246422,0.8617712455078429,0.9960688094454684
AlphaGenome composite,scalar,Splice Acceptor,9828,9655,9828,0.818207942813182,0.7749278417922016,0.8575480387034288,0.9946864662000492
AlphaGenome composite,scalar,Intronic,254737,1723,254737,0.9386825914872444,0.9334517335787348,0.9447447129225028,0.2315862071976401
AlphaGenome composite,scalar,Initiator Codon,1363,1191,1363,0.6636156835178568,0.6288955705116315,0.7034112297628949,0.9321255576811864
AlphaGenome composite,scalar,5' UTR,15232,82,15232,0.7392425340094986,0.6722929042693807,0.8114220829020183,0.0883100080446129
AlphaGenome composite,scalar,3' UTR,16679,27,16679,0.8031345361696071,0.6992147691411061,0.9022923158404512,0.0660745905648082
AlphaGenome composite,scalar,Non-coding Transcript,67267,108,67267,0.8720463267657241,0.8301237088789516,0.9159268200682016,0.0828889534261114
AlphaGenome composite,scalar,Missense (canonical),117653,35535,117653,0.5223669581816073,0.5183214224769641,0.5261852217453638,0.3420139832820583
AlphaGenome composite,scalar,Missense (non-canonical),7439,766,7439,0.5371770186469068,0.5178561165448146,0.5595997880738904,0.1408352781299243
AlphaGenome composite,scalar,Other,3498,260,3498,0.4685834085617902,0.4391893531451973,0.5060029878421309,0.0789276193768903
NTv3 subref probe,scalar,Overall,833970,96793,833970,0.8053453813486021,0.8034961482443566,0.8073494224788977,0.6233972367630322
NTv3 subref probe,scalar,Missense,125092,36301,125092,0.5793000202232743,0.5753917686721997,0.5835663630894771,0.4006841572004347
NTv3 subref probe,scalar,Synonymous,292369,299,292369,0.8265210623787558,0.7867895625642028,0.8568674814174414,0.244780232858791
NTv3 subref probe,scalar,Nonsense,36050,35454,36050,0.6881173279451245,0.6591346234917806,0.7139852459332531,0.9904442953732172
NTv3 subref probe,scalar,Splice Donor,11855,11693,11855,0.8115153837950952,0.7699368192434269,0.8464760601153526,0.9957995425059368
NTv3 subref probe,scalar,Splice Acceptor,9828,9655,9828,0.7710743183172036,0.7310942472176789,0.8088581895926518,0.993397326287231
NTv3 subref probe,scalar,Intronic,254737,1723,254737,0.8047150781748083,0.7891652588697359,0.8218807382523957,0.3900268488380313
NTv3 subref probe,scalar,Initiator Codon,1363,1191,1363,0.8054302618475777,0.7747306754085558,0.8353568499043352,0.9629319289970693
NTv3 subref probe,scalar,5' UTR,15232,82,15232,0.5197866859856717,0.4478181759165074,0.5953144418874858,0.0991235784169406
