method,tier,n_total,n_pathogenic,n_valid,auroc,auroc_lo,auroc_hi,auprc
CADD v1.7,Overall,158603,44054,158603,0.9632811226431972,0.9623591881561808,0.9642476350943174,0.8972057906872607
CADD v1.7,Fast-evolving,22260,310,22259,0.8678843477327941,0.8422287819864458,0.889048887045102,0.4704501329115115
CADD v1.7,Weakly conserved,31464,887,31463,0.9025516177332088,0.8908590255524212,0.9158342394280952,0.5792152066591475
CADD v1.7,Low conservation,47002,4902,46998,0.9384004975595928,0.9342349734736594,0.9421750331732458,0.7491022280090701
CADD v1.7,Moderate conservation,21596,8444,21595,0.8942801440081557,0.8908704662793577,0.8986537337420999,0.8447297939255678
CADD v1.7,Highly conserved,36290,29514,36288,0.7957291470973887,0.7904084002274886,0.8011389651019818,0.9319891850320516
AlphaMissense,Overall,95922,31854,95922,0.9722601162655398,0.9712520613243096,0.973185421313545,0.9470230610771402
AlphaMissense,Fast-evolving,22260,310,9860,0.9324429625628272,0.9086269852150808,0.9546686216815232,0.6244909162846725
AlphaMissense,Weakly conserved,31464,887,14868,0.9517698104687012,0.9353134056362684,0.9660820807373351,0.701098718411785
AlphaMissense,Low conservation,47002,4902,25729,0.9510022400091632,0.9458102924600096,0.9557198915858158,0.8025000379779745
AlphaMissense,Moderate conservation,21596,8444,15002,0.9231029599691878,0.9189857956770732,0.9270128122663748,0.8692844043170205
AlphaMissense,Highly conserved,36290,29514,30463,0.9090464614660768,0.9052873356383409,0.9128596791713895,0.9710326470040604
GPN-MSA,Overall,158602,44054,158602,0.952492582803666,0.9513621002811726,0.9536134568944148,0.8812067552541488
GPN-MSA,Fast-evolving,22260,310,22258,0.8016636830749514,0.7789797787459661,0.8294881568468663,0.3434402579563079
GPN-MSA,Weakly conserved,31464,887,31463,0.8339908333466073,0.8227519174191987,0.8483608018034641,0.3948191743745529
GPN-MSA,Low conservation,47002,4902,46998,0.8839940240230929,0.8789060410202386,0.8888358847812176,0.607464791571283
GPN-MSA,Moderate conservation,21596,8444,21595,0.8511003498661343,0.8450940584666193,0.8569561257307265,0.7591262815519944
GPN-MSA,Highly conserved,36290,29514,36288,0.7867128139578945,0.7811408160955042,0.7924004602572732,0.9314745246870736
Evo2 probe (w64 mean),Overall,158612,44057,158612,0.9733754524578292,0.972629351818826,0.9741830634413088,0.9359006813228562
Evo2 probe (w64 mean),Fast-evolving,22260,310,22260,0.9167664045852008,0.8950291300858412,0.9424454010670822,0.6252758177463389
Evo2 probe (w64 mean),Weakly conserved,31464,887,31464,0.937841660134713,0.9283635514448236,0.9491479396183102,0.7075541091063625
Evo2 probe (w64 mean),Low conservation,47002,4902,47002,0.953590688661664,0.9503446947809951,0.9570649626124732,0.8252146736290994
Evo2 probe (w64 mean),Moderate conservation,21596,8444,21596,0.9275232710696836,0.9241193545695712,0.9310448971468378,0.8957381043784335
Evo2 probe (w64 mean),Highly conserved,36290,29514,36290,0.8798584816050717,0.8758326689959847,0.8847036146490175,0.963635655149336
NTv3 probe,Overall,158612,44057,158612,0.5862953696782829,0.5831594830936158,0.589549303701507,0.3876578057221057
NTv3 probe,Fast-evolving,22260,310,22260,0.5949348225439048,0.5589159593046602,0.6275033638201759,0.0286585678987197
NTv3 probe,Weakly conserved,31464,887,31464,0.5513915946357393,0.5320222712581736,0.5692320258079536,0.0392401601256326
NTv3 probe,Low conservation,47002,4902,47002,0.5535414746610768,0.5453698007409788,0.5614505002289034,0.1407978671883178
NTv3 probe,Moderate conservation,21596,8444,21596,0.5671707732264434,0.5595911066158057,0.5751106495386237,0.4811449833886836
NTv3 probe,Highly conserved,36290,29514,36290,0.5779406141395367,0.570724526288416,0.5850527075253237,0.8593790617262027
Evo2 loss,Overall,158612,44057,158612,0.9437734134432274,0.9427568759999116,0.9449220738798692,0.8383853451518912
Evo2 loss,Fast-evolving,22260,310,22260,0.8970070541553383,0.875712516389083,0.9192733408288496,0.39494764122423587
Evo2 loss,Weakly conserved,31464,887,31464,0.9096000600845099,0.897785207737251,0.920745975133509,0.4861254945641022
Evo2 loss,Low conservation,47002,4902,47002,0.9279138356441841,0.9242751553286679,0.9317029627554497,0.650741583528996
Evo2 loss,Moderate conservation,21596,8444,21596,0.8619984858379984,0.8567647635486847,0.8668151832715918,0.7826561883267265
Evo2 loss,Highly conserved,36290,29514,36290,0.7625724732600437,0.75521397515044,0.7678271900744545,0.9209531252724423
Evo2 probe (cov-pool),Overall,111333,42094,111333,0.9738084592609821,0.9728798473429426,0.9746255453229895,0.9570535824222965
Evo2 probe (cov-pool),Fast-evolving,11084,216,11084,0.947384182581551,0.9245537172460716,0.9692254220840384,0.7877044681583287
Evo2 probe (cov-pool),Weakly conserved,16599,654,16599,0.9629619400788069,0.9524263836201021,0.9716960823077846,0.814838377376445
Evo2 probe (cov-pool),Low conservation,29607,4296,29607,0.9646928016223064,0.9609255247375201,0.9677957623079929,0.8890015351853923
Evo2 probe (cov-pool),Moderate conservation,18529,7899,18529,0.9364553927959491,0.93304361264277,0.9401040130579452,0.9226934025031023
Evo2 probe (cov-pool),Highly conserved,35514,29029,35514,0.9048479502843685,0.9008251443522379,0.9085944851219511,0.9740973532787928
