method,tier,n_total,n_pathogenic,n_valid,auroc,auroc_lo,auroc_hi,auprc
CADD v1.7,Overall,101656,32506,101656,0.952342682694677,0.9510339246175286,0.9534861543262695,0.8758234637768613
CADD v1.7,Fast-evolving,11019,100,11019,0.8476403516805568,0.8011666715180847,0.8928953661871663,0.14223573613624477
CADD v1.7,Weakly conserved,16324,339,16324,0.9152725222669115,0.8962799151749942,0.9297189170930111,0.3530906230056689
CADD v1.7,Low conservation,27675,2396,27675,0.9254830036690368,0.9211309993989398,0.9304929975970521,0.5793772354948249
CADD v1.7,Moderate conservation,15626,5059,15626,0.8737822716269024,0.8687478573316797,0.8796118241558398,0.7378411700739732
CADD v1.7,Highly conserved,31012,24612,31012,0.781957883222615,0.7757775530107291,0.7884786129300666,0.9140175703735124
AlphaMissense,Overall,95789,31833,95789,0.9723233341887143,0.9712930791006588,0.9733491348429552,0.9471486396526665
AlphaMissense,Fast-evolving,9840,99,9840,0.9324758725744251,0.8962961422860284,0.9604277701666727,0.6249953655313556
AlphaMissense,Weakly conserved,14840,323,14840,0.951976555297291,0.9379210061314828,0.9669737926517377,0.7028232147391593
AlphaMissense,Low conservation,25688,2292,25688,0.9510424713491993,0.9458286324312412,0.9560005473891965,0.8030026670100584
AlphaMissense,Moderate conservation,14980,4906,14980,0.9233585652878847,0.9191118543505503,0.9270962347656275,0.8695815092574936
AlphaMissense,Highly conserved,30441,24213,30441,0.9091423609312355,0.9054609117194012,0.9131285210471791,0.9710820750178714
GPN-MSA,Overall,101656,32506,101656,0.9509361304185947,0.9496761045561957,0.9521194129182534,0.8835122661111332
GPN-MSA,Fast-evolving,11019,100,11019,0.9077273559849803,0.8652857379043207,0.9386085886060115,0.526710145386521
GPN-MSA,Weakly conserved,16324,339,16324,0.9349567210410202,0.9212149681955152,0.9475349802938068,0.544148577501215
GPN-MSA,Low conservation,27675,2396,27675,0.918818869562593,0.9135555171547158,0.9256490990093308,0.6036297015589376
GPN-MSA,Moderate conservation,15626,5059,15626,0.8379175600161868,0.8307976346247965,0.8458527004395718,0.68397754567498
GPN-MSA,Highly conserved,31012,24612,31012,0.7800806326690233,0.7746390947791154,0.7878983097554574,0.9210359207927655
Evo2 loss,Overall,101664,32509,101664,0.9149759955129882,0.9133320366349845,0.9166109215182363,0.7841755841364955
Evo2 loss,Fast-evolving,11019,100,11019,0.9160701529444087,0.8738787856465945,0.9488252047033041,0.20514258037615762
Evo2 loss,Weakly conserved,16325,339,16325,0.9344286132371725,0.9213839013188075,0.9457462076645959,0.29959006836302843
Evo2 loss,Low conservation,27679,2397,27679,0.8989853031026541,0.8944162040035166,0.9045996856824284,0.4371569056091066
Evo2 loss,Moderate conservation,15627,5059,15627,0.8163473716429254,0.8095404057357537,0.8216779429349206,0.6367772774480693
Evo2 loss,Highly conserved,31014,24614,31014,0.7378302077831722,0.7299925822999688,0.7440533404538524,0.8986966731448213
Evo2 probe (w64 mean),Overall,101664,32509,101664,0.9658131727325382,0.9648302547293802,0.9668174129404897,0.9280144117150105
Evo2 probe (w64 mean),Fast-evolving,11019,100,11019,0.924259547577617,0.8824304046134794,0.9620531081039927,0.5372542566721054
Evo2 probe (w64 mean),Weakly conserved,16325,339,16325,0.9426288193910083,0.9254628700244042,0.9570224624309572,0.6333206593059724
Evo2 probe (w64 mean),Low conservation,27679,2397,27679,0.9391234336013918,0.9335442242975976,0.9446404723788608,0.7317224160615001
Evo2 probe (w64 mean),Moderate conservation,15627,5059,15627,0.9033985085005265,0.898564678447907,0.9081163767652619,0.825582311525415
Evo2 probe (w64 mean),Highly conserved,31014,24614,31014,0.8720621965649631,0.8670573531636908,0.8764939957173629,0.9582460082404043
Evo2 probe (cov-pool),Overall,100309,32438,100309,0.971671756803789,0.9707047083952572,0.9724099090435956,0.9446950885611025
Evo2 probe (cov-pool),Fast-evolving,10733,100,10733,0.9197098655130255,0.8716791282029713,0.9563605754136963,0.6366428408563283
Evo2 probe (cov-pool),Weakly conserved,15976,337,15976,0.9459943119451618,0.9314082400991347,0.9603631399907909,0.6851758664142013
Evo2 probe (cov-pool),Low conservation,27214,2390,27214,0.947217220950976,0.9424435084479726,0.952554511488209,0.7873017142307326
Evo2 probe (cov-pool),Moderate conservation,15471,5045,15471,0.9170527215543516,0.9124804570975161,0.9220018055669753,0.8636200670282819
Evo2 probe (cov-pool),Highly conserved,30915,24566,30915,0.9002325511852847,0.896115589932137,0.904367546593812,0.9693461080413053
