gene,method,window,eval_set,n_total,n_pathogenic,n_valid,auroc,auroc_ci_lo,auroc_ci_hi,spearman,spearman_ci_lo,spearman_ci_hi
BRCA1,evo2_loss,scalar,all_annotated,2803,625,2803,0.722308,0.695916,0.747277,-0.312533,-0.350121,-0.273704
BRCA1,cadd_phred,scalar,all_annotated,2803,614,2268,0.852361,0.834261,0.870864,-0.544981,-0.574594,-0.510603
BRCA1,alphamissense,scalar,all_annotated,2803,467,2077,0.879805,0.860374,0.899027,-0.554915,-0.582369,-0.520694
BRCA1,revel,scalar,all_annotated,2803,479,2127,0.845390,0.823863,0.864779,-0.495121,-0.522727,-0.459706
BRCA1,clinvar_gfc_emb,gfc,clinvar_zeroshot,2803,625,2803,0.810898,0.789657,0.832173,-0.428338,-0.463823,-0.395051
BRCA1,clinvar_L27_w8,w8,clinvar_zeroshot,2803,625,2803,0.471755,0.441326,0.504266,0.030260,-0.008607,0.068394
BRCA1,clinvar_L27_w64,w64,clinvar_zeroshot,2803,625,2803,0.422540,0.394609,0.453724,0.083772,0.040929,0.122361
BRCA1,clinvar_L27_w128,w128,clinvar_zeroshot,2803,625,2803,0.534205,0.500751,0.566902,-0.094917,-0.132765,-0.052257
BRCA1,dms_iid_L27_w8,w8,test20,2803,125,561,0.908679,0.873020,0.939592,-0.513879,-0.580269,-0.441476
BRCA1,dms_iid_L27_w64,w64,test20,2803,125,561,0.920440,0.890520,0.945783,-0.561714,-0.624335,-0.487456
BRCA1,dms_iid_L27_w128,w128,test20,2803,125,561,0.897798,0.862631,0.926895,-0.531736,-0.590751,-0.459903
BRCA1,dms_geneho_L27_w8,w8,gene_holdout,2803,625,2803,0.710797,0.685370,0.735336,-0.280616,-0.315680,-0.247028
BRCA1,dms_geneho_L27_w64,w64,gene_holdout,2803,625,2803,0.731353,0.706183,0.755867,-0.300959,-0.337243,-0.264298
BRCA1,dms_geneho_L27_w128,w128,gene_holdout,2803,625,2803,0.721756,0.698840,0.747089,-0.335144,-0.371922,-0.301443
