dataset,sae_name,k,auc_roc,f1,accuracy,mcc
deconfounded,bidir_16k_k32,1,0.8223706556774414,0.672326849850777,0.8132715596868311,0.5417604028450005
deconfounded,bidir_16k_k32,2,0.8583832116822193,0.7016120535243915,0.8339149048470809,0.5869781127266244
deconfounded,bidir_16k_k32,4,0.8817572686298069,0.7361255456246103,0.8510981438583116,0.6324959965097792
deconfounded,bidir_16k_k32,8,0.9044219802390028,0.7618311166099598,0.8645280473858605,0.6671793016858032
deconfounded,bidir_16k_k32,16,0.91639766064701,0.7801432958034801,0.87402867782893,0.6918867024837774
deconfounded,bidir_16k_k32,32,0.9202958159222101,0.7746913580246914,0.8758466997038383,0.689946094234792
deconfounded,bidir_16k_k32,64,0.922616512254081,0.7899848254931715,0.878251180248072,0.704483459134749
deconfounded,bidir_16k_k32,128,0.9255838236796675,0.7941979177195997,0.8805970149253731,0.7103434954061402
labeled,exomic_sae_v2_8192_k64,1,0.9253593897719316,0.6742291493744044,0.7494621367945717,0.5760569981038971
labeled,exomic_sae_v2_8192_k64,2,0.9389085838472233,0.8710007678525723,0.8808426129512731,0.7753317602588665
labeled,exomic_sae_v2_8192_k64,4,0.9572635338213313,0.9013735310160162,0.9059507766508264,0.8184374169496411
labeled,exomic_sae_v2_8192_k64,8,0.9651228032882359,0.918020787586005,0.9205617419675154,0.8449234383939448
labeled,exomic_sae_v2_8192_k64,16,0.9696394972584074,0.9263106913669936,0.9280563633354612,0.8588534488536866
labeled,exomic_sae_v2_8192_k64,32,0.9712659409416571,0.9281541209985033,0.9296404000283708,0.8616266815907502
labeled,exomic_sae_v2_8192_k64,64,0.9721634327704758,0.9302179783950617,0.9315790718017827,0.8653608069333988
labeled,exomic_sae_v2_8192_k64,128,0.9725234622534037,0.9306711037160288,0.9320282762370854,0.866269508493949
deconfounded,all_features,16384,0.9624,,,
labeled,all_features,8192,0.9765,,,
