model,config,composite_mean,composite_sem,n
haiku,C1,2.6562,0.0487,200
haiku,C2,2.9888,0.0517,200
haiku,C3,3.1388,0.0507,200
haiku,C4,3.2812,0.0505,200
haiku,C5,3.2075,0.0444,200
haiku,C6,3.3938,0.0474,200
opus,C1,3.0188,0.0511,200
opus,C2,3.405,0.0534,200
opus,C3,3.355,0.0518,200
opus,C4,3.62,0.0477,200
opus,C5,3.6262,0.045,200
opus,C6,3.6512,0.0464,200
sonnet,C1,2.9038,0.0528,200
sonnet,C2,3.3775,0.0554,200
sonnet,C3,3.3538,0.0483,200
sonnet,C4,3.5712,0.0452,200
sonnet,C5,3.59,0.0448,200
sonnet,C6,3.6625,0.0427,200
