method,type,consequence,n_total,n_pathogenic,n_valid,auroc,auprc
CADD v1.7,scalar,Overall,158616,44057,158607,0.963281926554687,0.8972054787743229
CADD v1.7,scalar,Missense,101666,32509,101658,0.9523437289354733,0.8758232711719065
CADD v1.7,scalar,Synonymous,12585,289,12584,0.9334619947062625,0.7416313506681277
CADD v1.7,scalar,Nonsense,6367,5822,6367,0.7889309452598338,0.963051394854935
CADD v1.7,scalar,Splice Donor,1853,1713,1853,0.8598469685597532,0.9793030554133084
CADD v1.7,scalar,Splice Acceptor,1650,1497,1650,0.864829877620164,0.9774093731778052
CADD v1.7,scalar,Intronic,27644,1369,27644,0.9037163534815706,0.6133393447253936
CADD v1.7,scalar,Initiator Codon,715,559,715,0.8548174395669924,0.9267800329628648
CADD v1.7,scalar,5' UTR,1480,75,1480,0.8132526690391458,0.529002600122511
CADD v1.7,scalar,3' UTR,876,25,876,0.8877555816686251,0.4504924351933622
CADD v1.7,scalar,Non-coding Transcript,3593,97,3593,0.8627311920545424,0.5424615318365563
CADD v1.7,scalar,Missense (canonical),95791,31833,95785,0.9497449663679448,0.8749403059165036
CADD v1.7,scalar,Missense (non-canonical),5875,676,5873,0.9819796719638506,0.8979692171948753
CADD v1.7,scalar,Other,187,102,187,0.8129181084198385,0.806249753546362
AlphaMissense,scalar,Overall,158616,44057,95924,0.972245674130769,0.94698542407218
AlphaMissense,scalar,Missense,101666,32509,95791,0.9723088679319126,0.9471109760592102
AlphaMissense,scalar,Initiator Codon,715,559,73,0.8846153846153847,0.7590697833762146
AlphaMissense,scalar,Missense (canonical),95791,31833,95791,0.9723088679319126,0.9471109760592102
REVEL,scalar,Overall,158616,44057,29485,0.9803761389588644,0.9513471144993256
REVEL,scalar,Missense,101666,32509,29113,0.9812106862848284,0.95301009305619
REVEL,scalar,Synonymous,12585,289,49,0.8617021276595744,0.2083333333333333
REVEL,scalar,Intronic,27644,1369,106,0.7892156862745098,0.1412112010796221
REVEL,scalar,Initiator Codon,715,559,159,0.87000962000962,0.9579420964755846
REVEL,scalar,Missense (canonical),95791,31833,27178,0.981581650410373,0.9552632529440994
REVEL,scalar,Missense (non-canonical),5875,676,1935,0.947069592638294,0.8135365857316472
GPN-MSA,scalar,Overall,158616,44057,158606,0.9524941593633256,0.8812067316180443
GPN-MSA,scalar,Missense,101666,32509,101658,0.950937515623784,0.8835122557057429
GPN-MSA,scalar,Synonymous,12585,289,12584,0.850679447436224,0.2964964622926137
GPN-MSA,scalar,Nonsense,6367,5822,6367,0.824568939706712,0.9743882493398918
GPN-MSA,scalar,Splice Donor,1853,1713,1853,0.8453110666333084,0.979683934439218
