dataset,consequence,count,n_pathogenic,pathogenic_rate
Naive (834K),3' UTR,16679,27,0.16188020864560226
Naive (834K),5' UTR,15232,82,0.5383403361344538
Naive (834K),Initiator Codon,1363,1191,87.38077769625825
Naive (834K),Intronic,254737,1723,0.6763838782744556
Naive (834K),Missense,125092,36301,29.01944169091549
Naive (834K),Non-coding Transcript,67267,108,0.16055420934484962
Naive (834K),Nonsense,36050,35454,98.34674063800277
Naive (834K),Other,3498,260,7.432818753573471
Naive (834K),Splice Acceptor,9828,9655,98.23972323972325
Naive (834K),Splice Donor,11855,11693,98.63348797975537
Naive (834K),Synonymous,292369,299,0.10226802431174305
Deconf (159K),3' UTR,876,25,2.853881278538813
Deconf (159K),5' UTR,1480,75,5.0675675675675675
Deconf (159K),Initiator Codon,715,559,78.18181818181819
Deconf (159K),Intronic,27644,1369,4.952250036174215
Deconf (159K),Missense,101666,32509,31.976275254263964
Deconf (159K),Non-coding Transcript,3593,97,2.699693849151127
Deconf (159K),Nonsense,6367,5822,91.4402387309565
Deconf (159K),Other,187,102,54.54545454545454
Deconf (159K),Splice Acceptor,1650,1497,90.72727272727272
Deconf (159K),Splice Donor,1853,1713,92.44468429573665
Deconf (159K),Synonymous,12585,289,2.296384584823202
