stratum,n,pct_pathogenic,evo2_cov_probe_zeroshot,evo2_mean_probe_supervised,cadd_v17_indel,ntv3_subref_probe_supervised
Overall,73961,65.1,0.991,0.9841,0.9803,0.8283
Frameshift,41398,98.7,0.772,0.6633,0.7265,0.6019
In-frame,1769,51.6,0.9752,0.9457,0.7971,0.6037
Noncoding,24250,2.1,0.9762,0.868,0.9052,0.6273
Splice-adj.,2442,88.2,0.9248,0.949,0.7693,0.7658
1 bp,39801,70.0,0.9919,0.986,0.9839,0.8349
2-5 bp,21682,59.5,0.9937,0.9866,0.9835,0.8326
6-20 bp,9106,56.4,0.9904,0.9846,0.9754,0.8244
>20 bp,3372,67.7,0.9324,0.9365,0.9081,0.7646
Insertion,37558,60.8,0.9906,0.9854,0.9851,0.8384
Deletion,36403,69.6,0.991,0.9821,0.9741,0.8144
