benchmark,method,consequence,n,n_pathogenic,auroc,auroc_lo,auroc_hi,auprc,auprc_lo,auprc_hi,accuracy,accuracy_lo,accuracy_hi,f1,f1_lo,f1_hi
ClinVar Indel,Evo2 Covariance,Overall,73961,48149,0.991,,,,,,,,,,,
ClinVar Indel,Evo2 Covariance,Frameshift,41398,40860,0.772,,,,,,,,,,,
ClinVar Indel,Evo2 Covariance,In-frame,1769,913,0.9752,,,,,,,,,,,
ClinVar Indel,Evo2 Covariance,Noncoding,24250,509,0.9762,,,,,,,,,,,
ClinVar Indel,Evo2 Covariance,Splice-adj.,2442,2154,0.9248,,,,,,,,,,,
ClinVar Indel,Evo2 Covariance,Insertion,37558,22835,0.9906,,,,,,,,,,,
ClinVar Indel,Evo2 Covariance,Deletion,36403,25336,0.991,,,,,,,,,,,
ClinVar Indel,Evo2 Mean,Overall,73961,48149,0.9841,,,,,,,,,,,
ClinVar Indel,Evo2 Mean,Frameshift,41398,40860,0.6633,,,,,,,,,,,
ClinVar Indel,Evo2 Mean,In-frame,1769,913,0.9457,,,,,,,,,,,
ClinVar Indel,Evo2 Mean,Noncoding,24250,509,0.868,,,,,,,,,,,
ClinVar Indel,Evo2 Mean,Splice-adj.,2442,2154,0.949,,,,,,,,,,,
ClinVar Indel,Evo2 Mean,Insertion,37558,22835,0.9854,,,,,,,,,,,
ClinVar Indel,Evo2 Mean,Deletion,36403,25336,0.9821,,,,,,,,,,,
ClinVar Indel,CADD v1.7,Overall,73961,48149,0.9803,,,,,,,,,,,
ClinVar Indel,CADD v1.7,Frameshift,41398,40860,0.7265,,,,,,,,,,,
ClinVar Indel,CADD v1.7,In-frame,1769,913,0.7971,,,,,,,,,,,
ClinVar Indel,CADD v1.7,Noncoding,24250,509,0.9052,,,,,,,,,,,
ClinVar Indel,CADD v1.7,Splice-adj.,2442,2154,0.7693,,,,,,,,,,,
ClinVar Indel,CADD v1.7,Insertion,37558,22835,0.9851,,,,,,,,,,,
ClinVar Indel,CADD v1.7,Deletion,36403,25336,0.9741,,,,,,,,,,,
ClinVar Indel,NTv3,Overall,73961,48149,0.8283,,,,,,,,,,,
ClinVar Indel,NTv3,Frameshift,41398,40860,0.6019,,,,,,,,,,,
ClinVar Indel,NTv3,In-frame,1769,913,0.6037,,,,,,,,,,,
ClinVar Indel,NTv3,Noncoding,24250,509,0.6273,,,,,,,,,,,
ClinVar Indel,NTv3,Splice-adj.,2442,2154,0.7658,,,,,,,,,,,
ClinVar Indel,NTv3,Insertion,37558,22835,0.8384,,,,,,,,,,,
ClinVar Indel,NTv3,Deletion,36403,25336,0.8144,,,,,,,,,,,
ClinVar SNV,Evo2 Covariance,Overall,833970,96793,0.996836,0.996698,0.996978,0.980965,0.980353,0.981496,0.974503,0.974157,0.974841,0.899109,0.897792,0.900434
ClinVar SNV,Evo2 Covariance,Missense,125092,36301,0.97133,0.970468,0.972191,0.934878,0.932754,0.937048,0.912305,0.910793,0.913936,0.858721,0.856126,0.861401
ClinVar SNV,Evo2 Covariance,Synonymous,292369,299,0.961177,0.948357,0.972756,0.635453,0.579721,0.691697,0.931532,0.930553,0.932387,0.025698,0.022806,0.028815
ClinVar SNV,Evo2 Covariance,Nonsense,36050,35454,0.900242,0.884311,0.915572,0.997168,0.996603,0.997706,0.848988,0.845492,0.852566,0.917136,0.915026,0.919267
ClinVar SNV,Evo2 Covariance,Splice,21683,21348,0.924011,0.905501,0.940537,0.998008,0.99739,0.998561,0.867869,0.863025,0.872436,0.928266,0.925481,0.93094
ClinVar SNV,Evo2 Covariance,UTR,31911,109,0.942909,0.914769,0.965452,0.310929,0.226728,0.398319,0.909342,0.906177,0.91235,0.061628,0.049421,0.074101
ClinVar SNV,Evo2 Covariance,Intronic,254737,1723,0.983534,0.97949,0.986926,0.808214,0.792071,0.823099,0.961533,0.960861,0.962287,0.245941,0.236168,0.255495
ClinVar SNV,Evo2 Covariance,Other,3498,260,0.953546,0.939563,0.966024,0.786951,0.738857,0.834908,0.9008,0.891366,0.91052,0.564617,0.524616,0.604939
ClinVar SNV,Evo2 Mean,Overall,833970,96793,0.990388,0.989975,0.990794,0.960671,,,,,,,,
ClinVar SNV,Evo2 Mean,Missense,125092,36301,0.951252,0.950056,0.952374,0.886051,,,,,,,,
ClinVar SNV,Evo2 Mean,Synonymous,292369,299,0.917124,0.890852,0.93984,0.424045,,,,,,,,
ClinVar SNV,Evo2 Mean,Nonsense,36050,35454,0.806525,0.783168,0.827117,0.994388,,,,,,,,
ClinVar SNV,Evo2 Mean,Splice,21683,21348,0.849838,0.810573,0.886059,0.996,,,,,,,,
ClinVar SNV,Evo2 Mean,UTR,31911,109,0.789453,0.700743,0.869534,0.12608,,,,,,,,
ClinVar SNV,Evo2 Mean,Intronic,254737,1723,0.9396,0.930962,0.948229,0.670478,,,,,,,,
ClinVar SNV,Evo2 Mean,Other,3498,260,0.882863,0.848384,0.909784,0.67567,,,,,,,,
ClinVar SNV,Evo2 Loss,Overall,833970,96793,0.940114,0.939277,0.941022,0.784801,,,,,,,,
ClinVar SNV,Evo2 Loss,Missense,125092,36301,0.925508,0.924086,0.926819,0.825409,,,,,,,,
ClinVar SNV,Evo2 Loss,Synonymous,292369,299,0.670317,0.642541,0.699605,0.002038,,,,,,,,
ClinVar SNV,Evo2 Loss,Nonsense,36050,35454,0.80867,0.788321,0.828185,0.994962,,,,,,,,
ClinVar SNV,Evo2 Loss,Splice,21683,21348,0.779473,0.734137,0.823976,0.992596,,,,,,,,
ClinVar SNV,Evo2 Loss,UTR,31911,109,0.627796,0.564071,0.690653,0.004888,,,,,,,,
ClinVar SNV,Evo2 Loss,Intronic,254737,1723,0.800598,0.787164,0.813999,0.059834,,,,,,,,
ClinVar SNV,Evo2 Loss,Other,3498,260,0.868225,0.840189,0.892592,0.505228,,,,,,,,
ClinVar SNV,CADD v1.7,Overall,832701,96734,0.99144,0.991122,0.991754,0.956039,0.954875,0.957109,0.965988,0.965575,0.966361,0.869132,0.867446,0.870623
ClinVar SNV,CADD v1.7,Missense,125091,36296,0.946142,0.944919,0.947343,0.849361,0.845137,0.853413,0.875299,0.873602,0.877178,0.809478,0.806593,0.812436
ClinVar SNV,CADD v1.7,Synonymous,292368,299,0.929459,0.907361,0.94965,0.285029,0.241418,0.33858,0.966587,0.965885,0.96723,0.048875,0.043333,0.054789
ClinVar SNV,CADD v1.7,Nonsense,36050,35454,0.78303,0.759583,0.805084,0.993156,0.991974,0.994209,0.855479,0.852093,0.859057,0.921299,0.919236,0.923402
ClinVar SNV,CADD v1.7,Splice,21683,21348,0.868783,0.84152,0.891373,0.996369,0.995394,0.99719,0.947055,0.944011,0.949962,0.972514,0.970896,0.974065
ClinVar SNV,CADD v1.7,UTR,31913,109,0.858993,0.80626,0.905228,0.185393,0.12379,0.26841,0.928086,0.925045,0.930844,0.064411,0.049877,0.078293
ClinVar SNV,CADD v1.7,Intronic,254736,1722,0.909506,0.899474,0.918675,0.309142,0.285737,0.33308,0.924746,0.923764,0.925716,0.125855,0.119732,0.132062
